path,size_bytes,sha256,device,inode,link_count,canonical_inode_path,sibling_best_exists,evidence,proposed_action,reason
artifacts/g14_domain_generalization/runs/head_only/interrupted/seed_42_csv_import_failure_20260723/history.csv.tmp,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870681,1,artifacts/g14_domain_generalization/runs/head_only/interrupted/seed_42_csv_import_failure_20260723/history.csv.tmp,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
artifacts/g14_domain_generalization/runs/head_only/seed_42/last.pt,319957695,72a1d9255838c1356202fa106c23fc29a995811b2591bc9dd3f0691481d1f5ae,66306,7870709,1,artifacts/g14_domain_generalization/runs/head_only/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g14_domain_generalization/runs/head_only/seed_43/last.pt,319957567,cef5831a011e7be3eb9be1fd079894676d09bd9434d8c0e7e6114b1a5a1f8d3d,66306,7870699,1,artifacts/g14_domain_generalization/runs/head_only/seed_43/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g14_domain_generalization/runs/head_only/seed_44/last.pt,319957631,cedc1f982cfa5259b3a1c6a18c463dfbb34ff2a43dbf9f0d4e3532fc0b9c5c79,66306,7870570,1,artifacts/g14_domain_generalization/runs/head_only/seed_44/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g14_domain_generalization/segment_cache/.build.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870624,2,artifacts/g14_domain_generalization/segment_cache/.build.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
artifacts/g15_constrained_adaptation/p3_seed42/seed_42/last.pt,319940808,28418d6c4d7a633f7df39b8bcf2c7b08714c80920e9135f93b0f78998e952423,66306,7871170,1,artifacts/g15_constrained_adaptation/p3_seed42/seed_42/last.pt,False,history.csv;summary.json,REVIEW,no sibling best.pt; interrupted or non-promoted run
artifacts/g15_constrained_adaptation/p3b_seed42/seed_42/last.pt,319942152,8112e7191791b6885f824310019a553c69abbcb81a9326b3ab226a74e7106e76,66306,7871318,1,artifacts/g15_constrained_adaptation/p3b_seed42/seed_42/last.pt,False,history.csv;summary.json,REVIEW,no sibling best.pt; interrupted or non-promoted run
artifacts/g16_multisnr_constrained/p2_seed42/seed_42/last.pt,319947080,071f2deccb116e3c499225fcf586aa07d0f0460685dee3c53552a02c48ec0eaf,66306,7871466,1,artifacts/g16_multisnr_constrained/p2_seed42/seed_42/last.pt,False,history.csv;summary.json,REVIEW,no sibling best.pt; interrupted or non-promoted run
artifacts/g7_improvement/stage_d_r1/runs/seed_42/last.pt,957381128,4116d8235d34dda814ba1da949f572e386b9953ec4f28c540cc7680ef605781f,66306,7894626,1,artifacts/g7_improvement/stage_d_r1/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_leakage_fixed_v2/runs/seed_42/last.pt,957381576,1946cb47ae5d600322e1b3a39e894fe7173c18276c9050f038b3a6f5af2e8a9b,66306,7894660,2,artifacts/g7_leakage_fixed_v2/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
